id,companyId,number,product,product_en,multiple,name,logo,product_img
67,18,"5","润唇膏","Lip balm",0,"The Empress Kingdom","images/SME/The Empress Kingdom/","images/SME/The Empress Kingdom/5.jpg"
68,18,"6","沐浴盐","Bath soak",0,"The Empress Kingdom","images/SME/The Empress Kingdom/","images/SME/The Empress Kingdom/6.jpg"
69,18,"7","固体香水","Solid perfume",0,"The Empress Kingdom","images/SME/The Empress Kingdom/","images/SME/The Empress Kingdom/7.jpg"
70,18,"8","精油","Essential oils",0,"The Empress Kingdom","images/SME/The Empress Kingdom/","images/SME/The Empress Kingdom/8.jpg"
71,19,"1","化妆品","Cosmetic",0,"El bochra company","images/SME/El bochra company/","images/SME/El bochra company/1.jpg"
72,19,"2","  食品","Food ",0,"El bochra company","images/SME/El bochra company/","images/SME/El bochra company/2.jpg"
73,20,"1","牛角工艺品","Cow horn crafts",0,"JOY HORN CRAFTS","images/SME/JOY HORN CRAFTS/","images/SME/JOY HORN CRAFTS/1.jpg"
74,21,"1","手工制作的护肤香皂","Handmade skincare soaps",0,"NANA Naturals","images/SME/NANA naturals/","images/SME/NANA naturals/1.jpg"
75,21,"2","手工制作的护肤精油","Handmade skincare oils",0,"NANA Naturals","images/SME/NANA naturals/","images/SME/NANA naturals/2.jpg"
76,21,"3","黄油","Butters",0,"NANA Naturals","images/SME/NANA naturals/","images/SME/NANA naturals/3.jpg"
77,21,"4","磨砂膏","Scrubs",0,"NANA Naturals","images/SME/NANA naturals/","images/SME/NANA naturals/4.jpg"
78,22,"1","椰子精华","Coconut serum",0,"Mekong Coconut Oil Company Limited","images/SME/Mekong Coconut Oil Company Limited/","images/SME/Mekong Coconut Oil Company Limited/1.jpg"
